fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,CoPx_R,right,3,MSE,2.1019839878444844e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,3,MAE,0.0032612139302580804,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,3,SS_vs_persistence,4.757409943767499e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,3,SS_vs_seasonal,0.10632159678195385,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,3,SS_vs_ar,-0.1404172720763015,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,3,SS_vs_probgru,0.14870999587346745,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,MSE,2.516888544685847e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,MAE,0.0035399606910015433,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,SS_vs_persistence,3.973159490300304e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,SS_vs_seasonal,0.07274184749595591,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,SS_vs_ar,-0.16439441753404926,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,4,SS_vs_probgru,0.10780709448528447,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,MSE,2.8199441938636327e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,MAE,0.0037340808968946253,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,SS_vs_persistence,3.546169335955085e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,SS_vs_seasonal,0.053549575845404984,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,SS_vs_ar,-0.1769207506517958,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,5,SS_vs_probgru,0.08626136286471997,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,MSE,3.1367197811561523e-05,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,MAE,0.003987765974591332,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,SS_vs_persistence,3.188043695701026e-08,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,SS_vs_seasonal,0.03742316164437154,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,SS_vs_ar,-0.200796109481987,22076,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_R,right,6,SS_vs_probgru,0.052668528063564035,22076,2ec2ba37fa8cbb0b
